ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_sector,tv_industry,sector_update,decision
2310,TADAWUL,SIPCHEM,2310,Sahara International Petrochemical Company,TADAWUL,stock,Process Industries,Chemicals: Specialty,,name_mismatch
2320,TADAWUL,ALBABTAIN,2320,Al-Babtain Power & Telecommunication Co.,TADAWUL,stock,Producer Manufacturing,Electrical Products,,name_mismatch
2453,TWSE,凌群電腦股份有限公司,2453,"Syscom Computer Engineering Co., Ltd.",TWSE,stock,Technology Services,Information Technology Services,,name_mismatch
2542,TWSE,興富發建設股份有限公司,2542,Highwealth Construction Corp.,TWSE,stock,Finance,Real Estate Development,,name_mismatch
2723,TWSE,開曼美食達人股份有限公司,2723,Gourmet Master Co. Ltd.,TWSE,stock,Consumer Non-Durables,Food: Specialty/Candy,,name_mismatch
2739,TWSE,寒舍餐旅管理顧問股份有限公司,2739,My Humble House Hospitality Management Consulting Co Ltd,TWSE,stock,Consumer Services,Hotels/Resorts/Cruise lines,,name_mismatch
27N0,XETRA,CANNOVUM CANNABIS INH ON,27N0,CANNOVUM CANNABIS AG,XETR,stock,Health Technology,Pharmaceuticals: Major,Health Care,accept
2939,TWSE,永邑國際集團股份有限公司,2939,"Yong Yi International Group Co., Ltd.",TWSE,stock,Consumer Durables,Home Furnishings,,name_mismatch
2CUREX,STO,2cureX AB,2CUREX,2cureX AB,OMXSTO,stock,Health Technology,Medical Specialties,Health Care,accept
2GB,XETRA,2G ENERGY AG,2GB,2G Energy AG,XETR,stock,Utilities,Electric Utilities,Utilities,accept
2HQ0,XETRA,"Tilray Brands, Inc.",2HQ0,"Tilray Brands, Inc.",XETR,stock,Process Industries,Agricultural Commodities/Milling,Consumer Staples,accept
2INV,XETRA,2INVEST AG  NA O.N.,,,,,,,,no_tradingview_match
2WAV3,B3,2W ECOBANK S.A.,,,,,,,,no_tradingview_match
