isin,listing_key,ticker,exchange,is_primary
AU000000AZJ1,FSX::QRL,QRL,FSX,0
AU000000AZJ1,XSTU::QRL,QRL,XSTU,0
AU000000AZY0,ASX::AZY,AZY,ASX,1
AU000000AZY0,OTC::ATPMF,ATPMF,OTC,0
AU000000BCI0,ASX::BCI,BCI,ASX,1
AU000000BCI0,FSX::BC3,BC3,FSX,0
AU000000BCI0,OTC::BIRNF,BIRNF,OTC,0
AU000000BEN6,ASX::BEN,BEN,ASX,1
AU000000BEN6,FSX::BDJ,BDJ,FSX,0
AU000000BEN6,XSTU::BDJ,BDJ,XSTU,0
AU000000BEN6,OTC::BXRBF,BXRBF,OTC,0
AU000000BGA8,ASX::BGA,BGA,ASX,1
AU000000BGA8,FSX::B6G,B6G,FSX,0
AU000000BGA8,XSTU::B6G,B6G,XSTU,0
AU000000BHP4,ASX::BHP,BHP,ASX,1
AU000000BHP4,FSX::BHP1,BHP1,FSX,0
AU000000BHP4,Munich::BHP1,BHP1,Munich,0
AU000000BHP4,XDUS::BHP1,BHP1,XDUS,0
AU000000BHP4,XSTU::BHP1,BHP1,XSTU,0
AU000000BHP4,OTC::BHPLF,BHPLF,OTC,0
AU000000BIT4,ASX::BIT,BIT,ASX,1
AU000000BIT4,OTC::BITRF,BITRF,OTC,0
AU000000BKY0,ASX::BKY,BKY,ASX,1
AU000000BKY0,LSE::BKY,BKY,LSE,0
AU000000BKY0,FSX::B5R,B5R,FSX,0
AU000000BKY0,XSTU::B5R,B5R,XSTU,0
AU000000BKY0,OTC::BKLRF,BKLRF,OTC,0
AU000000BKY0,BME::BKY,BKY,BME,0
AU000000BLG5,ASX::BLG,BLG,ASX,1
AU000000BLG5,OTC::BUGLD,BUGLD,OTC,0
AU000000BLG5,OTC::BUGLF,BUGLF,OTC,0
AU000000BMN9,ASX::BMN,BMN,ASX,1
AU000000BMN9,OTC::BNNLF,BNNLF,OTC,0
AU000000BNR8,ASX::BNR,BNR,ASX,1
AU000000BNR8,FSX::7BR,7BR,FSX,0
AU000000BNR8,XSTU::7BR,7BR,XSTU,0
AU000000BOE4,ASX::BOE,BOE,ASX,1
AU000000BOE4,FSX::B8Y,B8Y,FSX,0
AU000000BOE4,OTC::BQSSF,BQSSF,OTC,0
AU000000BOL9,ASX::BOL,BOL,ASX,1
AU000000BOL9,FSX::GJY,GJY,FSX,0
AU000000BOQ8,ASX::BOQ,BOQ,ASX,1
AU000000BOQ8,FSX::BXZ,BXZ,FSX,0
AU000000BOQ8,XSTU::BXZ,BXZ,XSTU,0
AU000000BOT2,ASX::BOT,BOT,ASX,1
AU000000BOT2,OTC::BXPHF,BXPHF,OTC,0
AU000000BPT9,OTC::BEPTF,BEPTF,OTC,1
AU000000BPT9,FSX::BPS,BPS,FSX,0
AU000000BPT9,XSTU::BPS,BPS,XSTU,0
AU000000BRG2,ASX::BRG,BRG,ASX,1
AU000000BRG2,OTC::BVILF,BVILF,OTC,0
AU000000BRG2,FSX::HDE,HDE,FSX,0
AU000000BRI8,ASX::BRI,BRI,ASX,1
AU000000BRI8,FSX::BQ3,BQ3,FSX,0
AU000000BRK4,ASX::BRK,BRK,ASX,1
AU000000BRK4,FSX::8F3,8F3,FSX,0
AU000000BRK4,OTC::RDFEF,RDFEF,OTC,0
AU000000BRN8,ASX::BRN,BRN,ASX,1
AU000000BRN8,FSX::24Y,24Y,FSX,0
AU000000BRN8,OTC::BRCHF,BRCHF,OTC,0
AU000000BRU3,ASX::BRU,BRU,ASX,1
AU000000BRU3,OTC::BRNGF,BRNGF,OTC,0
AU000000BSL0,ASX::BSL,BSL,ASX,1
AU000000BSL0,FSX::BH5,BH5,FSX,0
AU000000BSL0,OTC::BLSFF,BLSFF,OTC,0
AU000000BSX5,ASX::BSX,BSX,ASX,1
AU000000BSX5,FSX::B9S,B9S,FSX,0
AU000000BSX5,OTC::BLSTF,BLSTF,OTC,0
AU000000BUB7,ASX::BUB,BUB,ASX,1
AU000000BUB7,OTC::BUBSF,BUBSF,OTC,0
AU000000BUX1,ASX::BUX,BUX,ASX,1
AU000000BUX1,FSX::3B4,3B4,FSX,0
AU000000BUY9,ASX::BUY,BUY,ASX,1
