listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
HKEX::06865,06865,HKEX,Stock,CNE100002375,CNE100002375,core,primary_listing,HKEX::06865
HKEX::06866,06866,HKEX,Stock,CNE100001TL0,CNE100001TL0,core,primary_listing,HKEX::06866
HKEX::06868,06868,HKEX,Stock,KYG875941000,KYG875941000,core,primary_listing,HKEX::06868
HKEX::06869,06869,HKEX,Stock,CNE100001T72,CNE100001T72,core,primary_listing,HKEX::06869
HKEX::06877,06877,HKEX,Stock,KYG2R50B1046,KYG2R50B1046,core,primary_listing,HKEX::06877
HKEX::06878,06878,HKEX,Stock,KYG2760V1187,KYG2760V1187,core,primary_listing,HKEX::06878
HKEX::06881,06881,HKEX,Stock,CNE100001NT6,CNE100001NT6,core,primary_listing,HKEX::06881
HKEX::06882,06882,HKEX,Stock,KYG3089V1023,KYG3089V1023,core,primary_listing,HKEX::06882
HKEX::06883,06883,HKEX,Stock,KYG3206R1092,KYG3206R1092,core,primary_listing,HKEX::06883
HKEX::06885,06885,HKEX,Stock,CNE100002QZ4,CNE100002QZ4,core,primary_listing,HKEX::06885
HKEX::06886,06886,HKEX,Stock,CNE100001YQ9,CNE100001YQ9,core,primary_listing,HKEX::06886
HKEX::06887,06887,HKEX,Stock,CNE1000070M8,CNE1000070M8,core,primary_listing,HKEX::06887
HKEX::06888,06888,HKEX,Stock,KYG3728H1002,KYG3728H1002,core,primary_listing,HKEX::06888
HKEX::06889,06889,HKEX,Stock,JP3491910000,JP3491910000,core,primary_listing,HKEX::06889
HKEX::06890,06890,HKEX,Stock,KYG521551013,KYG521551013,core,primary_listing,HKEX::06890
HKEX::06893,06893,HKEX,Stock,KYG4590V1023,KYG4590V1023,core,primary_listing,HKEX::06893
HKEX::06896,06896,HKEX,Stock,KYG3961J1022,KYG3961J1022,core,primary_listing,HKEX::06896
HKEX::06898,06898,HKEX,Stock,KYG211551091,KYG211551091,core,primary_listing,HKEX::06898
HKEX::06899,06899,HKEX,Stock,KYG6847M1087,KYG6847M1087,core,primary_listing,HKEX::06899
HKEX::06908,06908,HKEX,Stock,KYG3970H1056,KYG3970H1056,core,primary_listing,HKEX::06908
HKEX::06909,06909,HKEX,Stock,KYG1226F1054,KYG1226F1054,core,primary_listing,HKEX::06909
HKEX::06911,06911,HKEX,Stock,CNE1000069K4,CNE1000069K4,core,primary_listing,HKEX::06911
HKEX::06913,06913,HKEX,Stock,KYG8281B1014,KYG8281B1014,core,primary_listing,HKEX::06913
HKEX::06918,06918,HKEX,Stock,KYG5259S1084,KYG5259S1084,core,primary_listing,HKEX::06918
HKEX::06919,06919,HKEX,Stock,KYG7504A1067,KYG7504A1067,core,primary_listing,HKEX::06919
HKEX::06922,06922,HKEX,Stock,CNE100005MV5,CNE100005MV5,core,primary_listing,HKEX::06922
HKEX::06928,06928,HKEX,Stock,KYG8955R1011,KYG8955R1011,core,primary_listing,HKEX::06928
HKEX::06929,06929,HKEX,Stock,KYG6773B1005,KYG6773B1005,core,primary_listing,HKEX::06929
HKEX::06933,06933,HKEX,Stock,KYG8191E1044,KYG8191E1044,core,primary_listing,HKEX::06933
HKEX::06936,06936,HKEX,Stock,CNE100006NF4,CNE100006NF4,core,primary_listing,HKEX::06936
HKEX::06938,06938,HKEX,Stock,CNE100007DS6,CNE100007DS6,core,primary_listing,HKEX::06938
HKEX::06939,06939,HKEX,Stock,KYG5961G1038,KYG5961G1038,core,primary_listing,HKEX::06939
HKEX::06955,06955,HKEX,Stock,CNE100005RV4,CNE100005RV4,core,primary_listing,HKEX::06955
HKEX::06958,06958,HKEX,Stock,KYG9898V1005,KYG9898V1005,core,primary_listing,HKEX::06958
HKEX::06959,06959,HKEX,Stock,KYG2044E1061,KYG2044E1061,core,primary_listing,HKEX::06959
HKEX::06960,06960,HKEX,Stock,CNE1000071N4,CNE1000071N4,core,primary_listing,HKEX::06960
HKEX::06963,06963,HKEX,Stock,CNE100005MM4,CNE100005MM4,core,primary_listing,HKEX::06963
HKEX::06966,06966,HKEX,Stock,KYG215AA1032,KYG215AA1032,core,primary_listing,HKEX::06966
HKEX::06968,06968,HKEX,Stock,KYG373041055,KYG373041055,core,primary_listing,HKEX::06968
HKEX::06969,06969,HKEX,Stock,KYG8245V1023,KYG8245V1023,core,primary_listing,HKEX::06969
HKEX::06978,06978,HKEX,Stock,KYG4721A1004,KYG4721A1004,core,primary_listing,HKEX::06978
HKEX::06979,06979,HKEX,Stock,KYG989BA1027,KYG989BA1027,core,primary_listing,HKEX::06979
HKEX::06980,06980,HKEX,Stock,CNE100007507,CNE100007507,core,primary_listing,HKEX::06980
HKEX::06988,06988,HKEX,Stock,KYG5191P1054,KYG5191P1054,core,primary_listing,HKEX::06988
HKEX::06989,06989,HKEX,Stock,KYG3235S1021,KYG3235S1021,core,primary_listing,HKEX::06989
HKEX::06990,06990,HKEX,Stock,CNE1000062J1,CNE1000062J1,core,primary_listing,HKEX::06990
HKEX::06993,06993,HKEX,Stock,KYG1193D1097,KYG1193D1097,core,primary_listing,HKEX::06993
HKEX::06996,06996,HKEX,Stock,KYG039571008,KYG039571008,core,primary_listing,HKEX::06996
HKEX::06999,06999,HKEX,Stock,KYG5410P1000,KYG5410P1000,core,primary_listing,HKEX::06999
HKEX::07200,07200,HKEX,ETF,HK0000330149,HK0000330149,core,primary_listing,HKEX::07200
HKEX::07226,07226,HKEX,ETF,HK0000672946,HK0000672946,core,primary_listing,HKEX::07226
HKEX::07233,07233,HKEX,ETF,HK0000629656,HK0000629656,core,primary_listing,HKEX::07233
HKEX::07234,07234,HKEX,ETF,HK0000828696,HK0000828696,core,primary_listing,HKEX::07234
HKEX::07261,07261,HKEX,ETF,HK0000306594,HK0000306594,core,primary_listing,HKEX::07261
HKEX::07262,07262,HKEX,ETF,HK0001014262,HK0001014262,core,primary_listing,HKEX::07262
HKEX::07266,07266,HKEX,ETF,HK0000604659,HK0000604659,core,primary_listing,HKEX::07266
HKEX::07288,07288,HKEX,ETF,HK0000330164,HK0000330164,core,primary_listing,HKEX::07288
HKEX::07299,07299,HKEX,ETF,HK0000612744,HK0000612744,core,primary_listing,HKEX::07299
HKEX::07300,07300,HKEX,ETF,HK0000330156,HK0000330156,core,primary_listing,HKEX::07300
HKEX::07311,07311,HKEX,ETF,HK0001121265,HK0001121265,core,primary_listing,HKEX::07311
HKEX::07347,07347,HKEX,ETF,HK0001121364,HK0001121364,core,primary_listing,HKEX::07347
HKEX::07366,07366,HKEX,ETF,HK0001121224,HK0001121224,core,primary_listing,HKEX::07366
HKEX::07376,07376,HKEX,ETF,HK0001028825,HK0001028825,core,primary_listing,HKEX::07376
HKEX::07388,07388,HKEX,ETF,HK0001121182,HK0001121182,core,primary_listing,HKEX::07388
HKEX::07399,07399,HKEX,ETF,HK0001121307,HK0001121307,core,primary_listing,HKEX::07399
HKEX::07489,07489,HKEX,Stock,CNE100007FB7,CNE100007FB7,core,primary_listing,HKEX::07489
HKEX::07500,07500,HKEX,ETF,HK0000503190,HK0000503190,core,primary_listing,HKEX::07500
HKEX::07515,07515,HKEX,ETF,HK0001014270,HK0001014270,core,primary_listing,HKEX::07515
HKEX::07522,07522,HKEX,ETF,HK0000525649,HK0000525649,core,primary_listing,HKEX::07522
HKEX::07552,07552,HKEX,ETF,HK0000672953,HK0000672953,core,primary_listing,HKEX::07552
HKEX::07568,07568,HKEX,ETF,HK0000528882,HK0000528882,core,primary_listing,HKEX::07568
HKEX::07588,07588,HKEX,ETF,HK0000330172,HK0000330172,core,primary_listing,HKEX::07588
HKEX::07618,07618,HKEX,Stock,KYG5140T1094,KYG5140T1094,core,primary_listing,HKEX::07618
HKEX::07709,07709,HKEX,ETF,HK0001205258,HK0001205258,core,primary_listing,HKEX::07709
HKEX::07711,07711,HKEX,ETF,HK0001121240,HK0001121240,core,primary_listing,HKEX::07711
HKEX::07747,07747,HKEX,ETF,HK0001121349,HK0001121349,core,primary_listing,HKEX::07747
HKEX::07766,07766,HKEX,ETF,HK0001121208,HK0001121208,core,primary_listing,HKEX::07766
HKEX::07777,07777,HKEX,ETF,HK0001121323,HK0001121323,core,primary_listing,HKEX::07777
HKEX::07788,07788,HKEX,ETF,HK0001121166,HK0001121166,core,primary_listing,HKEX::07788
HKEX::07799,07799,HKEX,ETF,HK0001121281,HK0001121281,core,primary_listing,HKEX::07799
